R,G,B
147.83853459972846,166.0691994572593,165.3283582089553
56.38573085846869,80.30104408352697,102.26218097447799
57.0489386792452,82.76768867924523,107.88443396226404
51.535398230088546,77.03982300884942,104.8084702907712
59.6727549467275,85.78335870116693,110.12328767123284
55.20253929867004,80.95102781136612,106.58464328899646
55.001808318263976,80.74382157926435,108.15250150693203
58.30215384615384,84.07692307692326,116.46892307692325
52.1453387376954,78.09148812970459,101.23914302258278
61.596038415366124,86.5036014405764,121.66146458583437
61.4174537211938,87.11711371363842,97.94182092935387
131.35829493087545,148.17857142857144,156.00921658986175
69.27227993439041,95.7293603061786,94.5046473482778
67.81820697288313,93.55091311566089,94.57553956834549
67.66108108108098,93.60081081081081,93.37027027027023
68.67949380165291,94.98398760330608,94.88300619834678
69.95465268676291,96.33001310616032,98.5339449541286
68.42755276668558,95.66001140901311,101.91528807758107
61.96969696969711,91.8235690235691,136.43838383838388
62.48995148995158,93.92931392931385,141.16077616077644
177.3624200116339,137.4269924374637,147.242582897033
89.89252560053575,133.3738156761412,82.49114747822742
120.51679841897217,144.14328063241112,150.8853754940713
174.51540195341857,142.11495116453798,145.4951164537938
45.680287675711234,85.84635501797979,98.60379208891811
76.92358299595135,128.05516194331958,150.0546558704462
77.67831541218646,131.10125448028688,184.93906810035782
45.975977390485156,77.69288742345734,82.98115873763504
50.02588726513615,84.71732776618028,80.54154488517754
90.22345132743364,142.27212389380554,94.36455260570335
41.52182866556865,76.91803953871496,89.76482701812192
56.97444538051089,97.00926705981533,94.33473743330521
46.95994378074525,85.04884047786342,99.29831342234672
130.65559655596562,156.8081180811809,173.4969249692494
54.680948040109094,94.53084168945621,104.23701002734725
57.29168831168832,98.76181818181833,96.74935064935086
44.885506745070835,83.84053960567337,94.60428917329615
181.97089397089422,139.75519750519715,158.44282744282782
186.9940334128879,142.09069212410517,162.17720763723113
194.17536746072028,149.32285859097811,172.6999493157632
194.59672619047635,166.0421626984129,177.60763888888908
197.9458749343139,168.94902785076184,180.36941671045756
202.1586592178767,169.91005586592175,183.6296089385473
199.50419697817586,167.19026301063238,180.69949636261887
105.08457711442799,140.01305970149258,178.8893034825871
204.60386190754798,171.6044470450557,185.82094792276212
194.81921487603267,166.4839876033056,177.56869834710787
199.37401129943547,168.61129943502823,181.82372881355923
199.24943310657642,169.50907029478446,182.24489795918385
192.8374933616572,167.10037174721185,176.80562931492244
202.16156670746557,171.66768665850682,184.79742962056324
191.48232189973592,167.5999999999998,176.40580474933995
195.77521613832835,167.73832853025925,178.9550432276655
199.81001206272592,169.67973462002413,182.29794933655023
191.97490852064828,164.93204391008896,175.1725039205439
97.89711191335726,133.15884476534296,158.98330324909767
201.28819652486487,169.13900539245043,183.6069502696224
192.27536231884062,164.20031055900637,176.035196687371
197.26711941143193,166.06395019807613,180.6213921901531
200.2474413004215,166.49367850692335,182.6261288380493
194.58300726662912,163.11123532699858,177.5992174399104
207.15771349862246,170.44214876033055,189.9876033057849
203.51227604512255,169.02521566025234,186.6609157266089
203.8470020675399,170.30530668504477,188.82839421088937
205.78829479768757,171.95592485549116,190.4364161849707
203.22352941176482,169.19515570934243,188.12456747404843
100.78137065637068,136.4840733590733,166.43581081081072
204.23901098901143,172.55700549450572,189.56250000000023
204.00358680057388,174.30989956958416,191.24605451936895
39.976744186046375,63.68217054263614,45.166666666666785
40.09703250117806,64.38577484691461,45.739519547809465
203.5033911077619,173.8688771665409,190.33082140165791
206.0183413078151,175.81419457735234,192.32934609250424
207.05798319327755,176.13865546218483,193.43529411764706
209.69066666666657,177.55466666666675,195.8284444444443
209.5488029465929,176.70257826887686,195.0736648250462
209.38086642599308,178.2030685920578,196.0171480144407
58.95734308348589,82.11273613650191,103.62157221206569
209.0064814814815,178.35370370370353,195.69999999999985
209.07255813953464,179.53395348837225,196.49860465116294
209.0038722168442,179.92352371732838,196.45304937076457
209.6567754698317,180.98021760633046,197.56577645895135
209.49950738916237,181.7921182266009,197.38916256157654
208.52042801556405,182.36964980544752,196.95233463034998
208.04251207729448,181.79613526570054,196.5082125603865
207.39414634146362,181.93268292682922,196.30243902439037
207.259222333001,182.9471585244267,196.66101694915238
208.11088911088922,182.7432567432569,197.62237762237754
52.08456659619466,75.54827343199455,98.04933051444668
